date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:23	164114/164114	---M--	200	added ('OK')	image/jpeg	etag:%225edb6ff5-28112%22	https://cleanservice.com.au/resources/pic/bg/clean-service.jpg	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/bg/clean-service.jpg	(from https://cleanservice.com.au/)
12:17:23	973/973	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-3cd%22	https://cleanservice.com.au/resources/pic/t/fixed-price-cleaning.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/fixed-price-cleaning.png	(from https://cleanservice.com.au/)
12:17:24	1961/1961	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-7a9%22	https://cleanservice.com.au/resources/pic/t/quality-cleaning-inclusive.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/quality-cleaning-inclusive.png	(from https://cleanservice.com.au/)
12:17:24	687/687	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-2af%22	https://cleanservice.com.au/resources/pic/t/cleaning-quote-privacy.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/cleaning-quote-privacy.png	(from https://cleanservice.com.au/)
12:17:28	22182/22182	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-56a6%22	https://cleanservice.com.au/resources/pic/bg/clear-cleaning-prices.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/bg/clear-cleaning-prices.png	(from https://cleanservice.com.au/)
12:17:28	3/3	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2010:17:59%20GMT	https://cleanservice.com.au/cleanservice.com.au	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/cleanservice.com.au	(from https://cleanservice.com.au/)
12:17:30	23945/23945	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:18:00%20GMT	https://cleanservice.com.au/privacy	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/privacy.html	(from https://cleanservice.com.au/)
12:17:31	26431/26431	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:18:02%20GMT	https://cleanservice.com.au/terms	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/terms.html	(from https://cleanservice.com.au/)
12:17:40	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/EcoGenies/code.jquery.com/jquery-1.12.4.min.js	(from https://cleanservice.com.au/)
12:17:40	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://google-analytics.com/analytics.js	C:/My%20Web%20Sites/EcoGenies/google-analytics.com/analytics.js	(from https://cleanservice.com.au/)
